"season","prob1","prob2","prob3","factor","seePen"
NA,NA,NA,NA,NA,NA
"A",0.612524938057357,0.498151632533947,0.589270552810205,0.7,0.024
"B",0.63990441978764,0.549604694125877,0.695698133718723,0.7,0.024
"C",0.644558313842276,0.562170072494746,0.72559112968459,0.7,0.024
"D",0.595421831385384,0.532895578043155,0.777926202778784,0.7,0.024
"E",0.624896634915207,0.549057683852304,0.712751232075176,0.7,0.024
"F",0.624189180687838,0.544946371145006,0.672491761013935,0.7,0.024
"G",0.648744250502096,0.577215147859761,0.85260173558516,0.7,0.024
"H",0.644382268107698,0.532046191604259,0.6675642599987,0.7,0.024
"I",0.629668460293909,0.514874682773599,0.649290328860724,0.7,0.024
"J",0.604348294979802,0.507027142140499,0.599258176691018,0.7,0.024
"K",0.636047941050276,0.554635956931265,0.722250327769616,0.7,0.024
"L",0.593366230645891,0.436430283317756,0.410212436816954,0.7,0.024
"M",0.582719744334557,0.481962554758117,0.628016187161331,0.7,0.024
"N",0.62594691114363,0.50497775643692,0.589920208653325,0.7,0.024
"O",0.631867666409338,0.541777775469136,0.625267692095296,0.7,0.024
"P",0.654806173571489,0.605098771744314,0.873472463951834,0.7,0.024
"Q",0.638738476686813,0.597615984497843,0.751328377105834,0.7,0.024
"R",0.633874202569748,0.594142465040531,0.911349347815304,0.7,0.024
